ID;Photo;Name;Reference;Category;Base price;Final price;Quantity;Status;	
759;http://172.16.220.164/bookstore/img/p/0.jpg;PSICOMOTRICIDAD Y EXPRESION ARTISTICA NO. 02;7467634946761;Grade-0;1500.000000;1687.5;10;1;	
373;http://172.16.220.164/bookstore/img/p/0.jpg;DICCIONARIO ESCOLAR DEL ESPANOL;9788430598465;Grade-0;1500.000000;1687.5;10;1;	
2229;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE GUPI 5 - 2DO.TRIMESTRE;9789945113129;Grade-5;415.000000;364.16;0;1;	
2354;http://172.16.220.164/bookstore/img/p/0.jpg;LENGUA Y LITERATURA 4 (4TO BACH) SERIE INNOVA;9789945118346;Grade-12;1.100000;0.97;0;1;	
270;http://172.16.220.164/bookstore/img/p/0.jpg;ABEJITAS NO. 01;9789945120769;Grade-0;1500.000000;1687.5;10;1;	
499;http://172.16.220.164/bookstore/img/p/0.jpg;FIREFLIES NO. 2 (CUADERNO);9786074261387;Grade-0;1500.000000;1687.5;10;1;	
334;http://172.16.220.164/bookstore/img/p/0.jpg;CIENCIAS NATURALES NO. 7 SERIE QUISQUEYA;9789945122336;Grade-0;1500.000000;1687.5;10;1;	
669;http://172.16.220.164/bookstore/img/p/0.jpg;MI CALIGRAFIA NACHO NO. 4;9789945122763;Grade-0;1500.000000;1687.5;10;1;	
2197;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE LISATOMAS Y SUS AMIGOS 3 - 3ER. TRIMESTRE (SCRIPT);9789945117707;Grade-3;520.000000;456.3;10;1;	 
2258;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA 7 SERIE INNOVA;9789945117523;Grade-7;490.000000;429.98;0;1;	
2322;http://172.16.220.164/bookstore/img/p/0.jpg;KIT INFORMATICA 5 SERIE CORAL & CD;9789945115420;Grade-5;605.000000;530.89;0;1;	
2383;http://172.16.220.164/bookstore/img/p/0.jpg;SOCIEDAD 4 (4TO BACH)  SERIE INNOVA;9789945118421;Grade-12;1.100000;0.97;0;1;	
436;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION SEXUAL NO. 5;9789945121018;Grade-0;1500.000000;1687.5;10;1;	
302;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA INICIAL NO. 01;9789945123043;Grade-0;1500.000000;1687.5;10;1;	
574;http://172.16.220.164/bookstore/img/p/0.jpg;LENGUA ESPANOLA NO. 4 (SERIE QUISQUEYA);9789945121636;Grade-0;1500.000000;1687.5;10;1;	
771;http://172.16.220.164/bookstore/img/p/0.jpg;QUIMICA NO. 3 (SERIE QUISQUEYA);9789945121810;Grade-0;1500.000000;1687.5;10;1;	
379;http://172.16.220.164/bookstore/img/p/0.jpg;DON QUIJOTE DE LA MANCHA (BIBLIOTECA SUSAETA);7467634940523;Grade-0;1500.000000;1687.5;10;1;	
783;http://172.16.220.164/bookstore/img/p/0.jpg;RISAS Y LAGRIMAS;9789945122695;Grade-0;1500.000000;1687.5;10;1;	
385;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION ARTISTICA NO. 3;9789945122251;Grade-0;1500.000000;1687.5;10;1;	
2232;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE GUPI 3 - 2ER. TRIMESTRE (SCRIPT);9789945115871;Grade-3;415.000000;364.16;0;1;	
2293;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION SEXUAL 4 SERIE CORAL;9789945115659;Grade-4;590.000000;517.73;0;1;	
2418;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE BIOLOGIA 3 (3ER BACH) SERIE CORAL;9789945114317;Grade-11;395.000000;346.61;0;1;	
273;http://172.16.220.164/bookstore/img/p/0.jpg;ALL AROUND NO. 1;9786074261103;Grade-0;1500.000000;1687.5;10;1;	
505;http://172.16.220.164/bookstore/img/p/0.jpg;FIREFLIES NO. 4;9786074261349;Grade-0;1500.000000;1687.5;10;1;	
337;http://172.16.220.164/bookstore/img/p/0.jpg;CIVICA NO. 2 (ED. BASICA);9789945123081;Grade-0;1500.000000;1687.5;10;1;	
680;http://172.16.220.164/bookstore/img/p/0.jpg;MI CALIGRAFIA NACHO NO. 7;9789945122794;Grade-0;1500.000000;1687.5;10;1;	
2200;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE LISA TOMAS Y SUS AMIGOS 4 - 3RO. TRIMESTRE (SCRIPT);9789945117738;Grade-4;520.000000;456.3;10;1;	
2261;http://172.16.220.164/bookstore/img/p/0.jpg;MATEMATICAS 2 TODOS JUNTOS;9789945119237;Grade-2;1.045000;0.92;0;1;	
2325;http://172.16.220.164/bookstore/img/p/0.jpg;KIT INFORMATICA 8 SERIE CORAL & CD;9789945115451;Grade-8;605.000000;530.89;0;1;	
442;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION SEXUAL NO. 8;9789945121049;Grade-0;1500.000000;1687.5;10;1;	
305;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA PALMER;7467634940233;Grade-0;1500.000000;1687.5;10;1;	
582;http://172.16.220.164/bookstore/img/p/0.jpg;LENGUA ESPANOLA NO. 7 (SERIE QUISQUEYA);9789945121667;Grade-0;1500.000000;1687.5;10;1;	
590;http://172.16.220.164/bookstore/img/p/0.jpg;LENGUA Y LITERATURA NO. 2 (SERIE QUISQUEYA);9789945121704;Grade-0;1500.000000;1687.5;10;1;	
795;http://172.16.220.164/bookstore/img/p/0.jpg;SEXUALIDAD Y DESARROLLO HUMANO NO. 2;9789945121926;Grade-0;1500.000000;1687.5;10;1;	
391;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION ARTISTICA NO. 6;9789945122282;Grade-0;1500.000000;1687.5;10;1;	
2235;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE GUPI 4 - 2DO. TRIMESTRE (SCRIPT);9789945115901;Grade-4;415.000000;364.16;0;1;	
2296;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION SEXUAL 7 SERIE CORAL;9789945115680;Grade-7;590.000000;517.73;0;1;	
2360;http://172.16.220.164/bookstore/img/p/0.jpg;CUAD. LENGUA Y LITERATURA 2 (2DO BACH) SERIE CORAL;9789945114171;Grade-10;395.000000;346.61;0;1;	
2421;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE QUIMICA 3 (4TO BACH) SERIE CORAL;9789945114485;Grade-10;395.000000;346.61;0;1;	
276;http://172.16.220.164/bookstore/img/p/0.jpg;ALL AROUND NO. 4;9786074261134;Grade-0;1500.000000;1687.5;10;1;	
511;http://172.16.220.164/bookstore/img/p/0.jpg;FIREFLIES NO. 5 (CUADERNO);9786074261417;Grade-0;1500.000000;1687.5;10;1;	
340;http://172.16.220.164/bookstore/img/p/0.jpg;CIVICA NO. 5 (ED. BASICA);9789945123111;Grade-0;1500.000000;1687.5;10;1;	
2203;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE LISA TOMAS Y SUS AMIGOS 5 - 3RO. TRIMESTRE (SCRIPT);9789945117769;Grade-5;520.000000;456.3;10;1;	
2264;http://172.16.220.164/bookstore/img/p/0.jpg;SOCIEDAD 2 TODOS JUNTOS;9789945119268;Grade-2;1.045000;0.92;0;1;	
2328;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION ARTISTICA 3 TODOS JUNTOS;9789945190076;Grade-3;605.000000;530.89;0;1;	
2389;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO SOCIEDAD 2 (2DO BACH) SERIE CORAL;9789945114577;Grade-10;395.000000;346.61;0;1;	
2453;http://172.16.220.164/bookstore/img/p/0.jpg;NUEVO ATLAS GEOG. DE LA REP. DOM. EL MUNDO;9789945111446;Grade-9;1.150000;1.01;0;1;	
448;http://172.16.220.164/bookstore/img/p/0.jpg;EL LAZARILLO DE TORMES (BIBLIOTECA SUSAETA);7467634947829;Grade-0;1500.000000;1687.5;10;1;	
308;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA Y ORTOGRAFIA  A B C (BACHILLERATO) AZUL;7467634940264;Grade-0;1500.000000;1687.5;10;1;	
454;http://172.16.220.164/bookstore/img/p/0.jpg;ENCUENTRO CON JESUS NO. 1;9789945121087;Grade-0;1500.000000;1687.5;10;1;	
311;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA Y ORTOGRAFIA ABC NO. 3;7467634943500;Grade-0;1500.000000;1687.5;10;1;	
599;http://172.16.220.164/bookstore/img/p/0.jpg;LEYENDAS DE AMERICA;7467634945535;Grade-0;1500.000000;1687.5;10;1;	
807;http://172.16.220.164/bookstore/img/p/0.jpg;TALLER DE ORTOGRAFIA NO. 1;7467634941667;Grade-0;1500.000000;1687.5;10;1;	
397;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION ARTISTICA PARA LA VIDA NO. 1;9789945122534;Grade-0;1500.000000;1687.5;10;1;	
2238;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE GUPI 5 - 2DO. TRIMESTRE (SCRIPT);9789945115932;Grade-5;415.000000;364.16;0;1;	
2299;http://172.16.220.164/bookstore/img/p/0.jpg;RELIGION 2 TODOS JUNTOS;9789945118704;Grade-2;590.000000;517.73;0;1;	
